company_id,previous_year,previous_pattern,current_year,current_pattern,pattern_change
POWERGRID,Mar 2018,Growth Funded by Debt,Mar 2019,Reinvestor,Growth Funded by Debt -> Reinvestor
POWERGRID,Mar 2021,Reinvestor,Mar 2022,Liquidating Assets,Reinvestor -> Liquidating Assets
POWERGRID,Mar 2022,Liquidating Assets,Mar 2023,Reinvestor,Liquidating Assets -> Reinvestor
RECLTD,Mar 2016,Distress Signal,Mar 2017,Reinvestor,Distress Signal -> Reinvestor
RECLTD,Mar 2017,Reinvestor,Mar 2018,Distress Signal,Reinvestor -> Distress Signal
RELIANCE,Mar 2013,Mixed,Mar 2014,Growth Funded by Debt,Mixed -> Growth Funded by Debt
RELIANCE,Mar 2015,Growth Funded by Debt,Mar 2016,Reinvestor,Growth Funded by Debt -> Reinvestor
RELIANCE,Mar 2016,Reinvestor,Mar 2017,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
RELIANCE,Mar 2017,Growth Funded by Debt,Mar 2018,Reinvestor,Growth Funded by Debt -> Reinvestor
RELIANCE,Mar 2018,Reinvestor,Mar 2019,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
RELIANCE,Mar 2019,Growth Funded by Debt,Mar 2020,Reinvestor,Growth Funded by Debt -> Reinvestor
RELIANCE,Mar 2020,Reinvestor,Mar 2021,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
RELIANCE,Mar 2021,Growth Funded by Debt,Mar 2022,Mixed,Growth Funded by Debt -> Mixed
RELIANCE,Mar 2023,Mixed,Mar 2024,Reinvestor,Mixed -> Reinvestor
SBILIFE,Mar 2020,Reinvestor,Mar 2021,Mixed,Reinvestor -> Mixed
SBILIFE,Mar 2021,Mixed,Mar 2022,Reinvestor,Mixed -> Reinvestor
SBIN,Mar 2013,Reinvestor,Mar 2014,Mixed,Reinvestor -> Mixed
SBIN,Mar 2014,Mixed,Mar 2015,Reinvestor,Mixed -> Reinvestor
SBIN,Mar 2015,Reinvestor,Mar 2016,Mixed,Reinvestor -> Mixed
SBIN,Mar 2016,Mixed,Mar 2017,Reinvestor,Mixed -> Reinvestor
SBIN,Mar 2017,Reinvestor,Mar 2018,Distress Signal,Reinvestor -> Distress Signal
SBIN,Mar 2018,Distress Signal,Mar 2019,Cash Accumulator,Distress Signal -> Cash Accumulator
SBIN,Mar 2019,Cash Accumulator,Mar 2020,Mixed,Cash Accumulator -> Mixed
SBIN,Mar 2021,Mixed,Mar 2022,Reinvestor,Mixed -> Reinvestor
SBIN,Mar 2022,Reinvestor,Mar 2023,Distress Signal,Reinvestor -> Distress Signal
SBIN,Mar 2023,Distress Signal,Mar 2024,Reinvestor,Distress Signal -> Reinvestor
SHREECEM,Mar 2017,Reinvestor,Mar 2018,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
SHREECEM,Mar 2018,Growth Funded by Debt,Mar 2019,Reinvestor,Growth Funded by Debt -> Reinvestor
SHREECEM,Mar 2019,Reinvestor,Mar 2020,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
SHREECEM,Mar 2020,Growth Funded by Debt,Mar 2021,Reinvestor,Growth Funded by Debt -> Reinvestor
SIEMENS,Sep 2017,Liquidating Assets,Sep 2018,Reinvestor,Liquidating Assets -> Reinvestor
SIEMENS,Sep 2019,Reinvestor,Sep 2020,Liquidating Assets,Reinvestor -> Liquidating Assets
SIEMENS,Sep 2020,Liquidating Assets,Sep 2021,Reinvestor,Liquidating Assets -> Reinvestor
SUNPHARMA,Mar 2013,Reinvestor,Mar 2014,Mixed,Reinvestor -> Mixed
SUNPHARMA,Mar 2014,Mixed,Mar 2015,Reinvestor,Mixed -> Reinvestor
SUNPHARMA,Mar 2020,Reinvestor,Mar 2021,Liquidating Assets,Reinvestor -> Liquidating Assets
SUNPHARMA,Mar 2021,Liquidating Assets,Mar 2022,Reinvestor,Liquidating Assets -> Reinvestor
SUNPHARMA,Mar 2022,Reinvestor,Mar 2023,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
SUNPHARMA,Mar 2023,Growth Funded by Debt,Mar 2024,Reinvestor,Growth Funded by Debt -> Reinvestor
TATACONSUM,Mar 2013,Cash Accumulator,Mar 2014,Reinvestor,Cash Accumulator -> Reinvestor
TATACONSUM,Mar 2015,Reinvestor,Mar 2016,Liquidating Assets,Reinvestor -> Liquidating Assets
TATACONSUM,Mar 2017,Liquidating Assets,Mar 2018,Reinvestor,Liquidating Assets -> Reinvestor
TATACONSUM,Mar 2018,Reinvestor,Mar 2019,Liquidating Assets,Reinvestor -> Liquidating Assets
TATACONSUM,Mar 2019,Liquidating Assets,Mar 2020,Reinvestor,Liquidating Assets -> Reinvestor
TATACONSUM,Mar 2023,Reinvestor,Mar 2024,Mixed,Reinvestor -> Mixed
TATAMOTORS,Mar 2014,Reinvestor,Mar 2015,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
TATAMOTORS,Mar 2015,Growth Funded by Debt,Mar 2016,Reinvestor,Growth Funded by Debt -> Reinvestor
TATAMOTORS,Mar 2016,Reinvestor,Mar 2017,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
TATAMOTORS,Mar 2020,Growth Funded by Debt,Mar 2021,Mixed,Growth Funded by Debt -> Mixed
TATAMOTORS,Mar 2021,Mixed,Mar 2022,Reinvestor,Mixed -> Reinvestor
TATAPOWER,Mar 2016,Reinvestor,Mar 2017,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
TATAPOWER,Mar 2017,Growth Funded by Debt,Mar 2018,Reinvestor,Growth Funded by Debt -> Reinvestor
TATAPOWER,Mar 2020,Reinvestor,Mar 2021,Liquidating Assets,Reinvestor -> Liquidating Assets
TATAPOWER,Mar 2021,Liquidating Assets,Mar 2022,Reinvestor,Liquidating Assets -> Reinvestor
TATAPOWER,Mar 2022,Reinvestor,Mar 2023,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
TATAPOWER,Mar 2023,Growth Funded by Debt,Mar 2024,Reinvestor,Growth Funded by Debt -> Reinvestor
TATASTEEL,Mar 2013,Reinvestor,Mar 2014,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
TATASTEEL,Mar 2014,Growth Funded by Debt,Mar 2015,Reinvestor,Growth Funded by Debt -> Reinvestor
TATASTEEL,Mar 2017,Reinvestor,Mar 2018,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
TATASTEEL,Mar 2018,Growth Funded by Debt,Mar 2019,Reinvestor,Growth Funded by Debt -> Reinvestor
TCS,Mar 2017,Reinvestor,Mar 2018,Liquidating Assets,Reinvestor -> Liquidating Assets
TCS,Mar 2020,Liquidating Assets,Mar 2021,Reinvestor,Liquidating Assets -> Reinvestor
TCS,Mar 2022,Reinvestor,Mar 2023,Liquidating Assets,Reinvestor -> Liquidating Assets
TECHM,Mar 2013,Mixed,Mar 2014,Liquidating Assets,Mixed -> Liquidating Assets
TECHM,Mar 2014,Liquidating Assets,Mar 2015,Reinvestor,Liquidating Assets -> Reinvestor
TECHM,Mar 2019,Reinvestor,Mar 2020,Liquidating Assets,Reinvestor -> Liquidating Assets
TECHM,Mar 2020,Liquidating Assets,Mar 2021,Reinvestor,Liquidating Assets -> Reinvestor
TECHM,Mar 2021,Reinvestor,Mar 2022,Liquidating Assets,Reinvestor -> Liquidating Assets
TECHM,Mar 2022,Liquidating Assets,Mar 2023,Reinvestor,Liquidating Assets -> Reinvestor
TITAN,Mar 2013,Reinvestor,Mar 2014,Distress Signal,Reinvestor -> Distress Signal
TITAN,Mar 2014,Distress Signal,Mar 2015,Reinvestor,Distress Signal -> Reinvestor
TITAN,Mar 2017,Reinvestor,Mar 2018,Mixed,Reinvestor -> Mixed
TITAN,Mar 2018,Mixed,Mar 2019,Reinvestor,Mixed -> Reinvestor
TITAN,Mar 2019,Reinvestor,Mar 2020,Mixed,Reinvestor -> Mixed
TITAN,Mar 2020,Mixed,Mar 2021,Reinvestor,Mixed -> Reinvestor
TITAN,Mar 2021,Reinvestor,Mar 2022,Mixed,Reinvestor -> Mixed
TITAN,Mar 2022,Mixed,Mar 2023,Growth Funded by Debt,Mixed -> Growth Funded by Debt
TITAN,Mar 2023,Growth Funded by Debt,Mar 2024,Reinvestor,Growth Funded by Debt -> Reinvestor
TORNTPHARM,Mar 2013,Growth Funded by Debt,Mar 2014,Mixed,Growth Funded by Debt -> Mixed
TORNTPHARM,Mar 2014,Mixed,Mar 2015,Growth Funded by Debt,Mixed -> Growth Funded by Debt
TORNTPHARM,Mar 2015,Growth Funded by Debt,Mar 2016,Reinvestor,Growth Funded by Debt -> Reinvestor
TORNTPHARM,Mar 2017,Reinvestor,Mar 2018,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
TORNTPHARM,Mar 2018,Growth Funded by Debt,Mar 2019,Reinvestor,Growth Funded by Debt -> Reinvestor
TORNTPHARM,Mar 2019,Reinvestor,Mar 2020,Liquidating Assets,Reinvestor -> Liquidating Assets
TORNTPHARM,Mar 2020,Liquidating Assets,Mar 2021,Reinvestor,Liquidating Assets -> Reinvestor
TORNTPHARM,Mar 2022,Reinvestor,Mar 2023,Mixed,Reinvestor -> Mixed
TORNTPHARM,Mar 2023,Mixed,Mar 2024,Reinvestor,Mixed -> Reinvestor
TRENT,Mar 2013,Growth Funded by Debt,Mar 2014,Mixed,Growth Funded by Debt -> Mixed
TRENT,Mar 2014,Mixed,Mar 2015,Distress Signal,Mixed -> Distress Signal
TRENT,Mar 2015,Distress Signal,Mar 2016,Reinvestor,Distress Signal -> Reinvestor
TRENT,Mar 2018,Reinvestor,Mar 2019,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
TRENT,Mar 2020,Growth Funded by Debt,Mar 2021,Liquidating Assets,Growth Funded by Debt -> Liquidating Assets
TRENT,Mar 2022,Liquidating Assets,Mar 2023,Reinvestor,Liquidating Assets -> Reinvestor
TVSMOTOR,Mar 2014,Reinvestor,Mar 2015,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
TVSMOTOR,Mar 2015,Growth Funded by Debt,Mar 2016,Reinvestor,Growth Funded by Debt -> Reinvestor
TVSMOTOR,Mar 2017,Reinvestor,Mar 2018,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
TVSMOTOR,Mar 2018,Growth Funded by Debt,Mar 2019,Distress Signal,Growth Funded by Debt -> Distress Signal
TVSMOTOR,Mar 2019,Distress Signal,Mar 2020,Growth Funded by Debt,Distress Signal -> Growth Funded by Debt
TVSMOTOR,Mar 2020,Growth Funded by Debt,Mar 2021,Mixed,Growth Funded by Debt -> Mixed
TVSMOTOR,Mar 2021,Mixed,Mar 2022,Distress Signal,Mixed -> Distress Signal
