company_id,previous_year,previous_pattern,current_year,current_pattern,pattern_change
BRITANNIA,Mar 2013,Liquidating Assets,Mar 2014,Reinvestor,Liquidating Assets -> Reinvestor
BRITANNIA,Mar 2019,Reinvestor,Mar 2020,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
BRITANNIA,Mar 2020,Growth Funded by Debt,Mar 2021,Liquidating Assets,Growth Funded by Debt -> Liquidating Assets
BRITANNIA,Mar 2022,Liquidating Assets,Mar 2023,Reinvestor,Liquidating Assets -> Reinvestor
BRITANNIA,Mar 2023,Reinvestor,Mar 2024,Liquidating Assets,Reinvestor -> Liquidating Assets
CANBK,Mar 2016,Reinvestor,Mar 2017,Mixed,Reinvestor -> Mixed
CANBK,Mar 2017,Mixed,Mar 2018,Distress Signal,Mixed -> Distress Signal
CANBK,Mar 2018,Distress Signal,Mar 2019,Reinvestor,Distress Signal -> Reinvestor
CANBK,Mar 2019,Reinvestor,Mar 2020,Distress Signal,Reinvestor -> Distress Signal
CANBK,Mar 2020,Distress Signal,Mar 2021,Mixed,Distress Signal -> Mixed
CANBK,Mar 2021,Mixed,Mar 2022,Growth Funded by Debt,Mixed -> Growth Funded by Debt
CANBK,Mar 2022,Growth Funded by Debt,Mar 2023,Distress Signal,Growth Funded by Debt -> Distress Signal
CANBK,Mar 2023,Distress Signal,Mar 2024,Reinvestor,Distress Signal -> Reinvestor
CIPLA,Mar 2013,Growth Funded by Debt,Mar 2014,Reinvestor,Growth Funded by Debt -> Reinvestor
CIPLA,Mar 2014,Reinvestor,Mar 2015,Mixed,Reinvestor -> Mixed
CIPLA,Mar 2015,Mixed,Mar 2016,Growth Funded by Debt,Mixed -> Growth Funded by Debt
CIPLA,Mar 2016,Growth Funded by Debt,Mar 2017,Reinvestor,Growth Funded by Debt -> Reinvestor
CIPLA,Mar 2019,Reinvestor,Mar 2020,Liquidating Assets,Reinvestor -> Liquidating Assets
CIPLA,Mar 2020,Liquidating Assets,Mar 2021,Reinvestor,Liquidating Assets -> Reinvestor
