company_id,year,free_cash_flow,cfo_quality,cfo_quality_label,capex_intensity,capex_label,fcf_conversion,cfo_sign,cfi_sign,cff_sign,pattern_label
ADANIPORTS,Mar 2014,-1378.0,0.6502010338885698,Moderate,221.7314487632509,High,-121.73144876325088,+,-,+,Growth Funded by Debt
ADANIPORTS,Mar 2015,572.0,1.3154044750430292,Strong,81.28884527314361,High,18.711154726856392,+,-,-,Shareholder Returns
ADANIPORTS,Mar 2016,-1772.0,0.8336834733893558,Moderate,174.422511549769,High,-74.422511549769,+,-,+,Growth Funded by Debt
ADANIPORTS,Mar 2017,1434.0,1.0412608918503332,Strong,64.70588235294117,High,35.294117647058826,+,-,-,Shareholder Returns
ADANIPORTS,Mar 2018,1762.0,1.5197831978319782,Strong,68.58059914407988,High,31.419400855920117,+,-,-,Shareholder Returns
ADANIPORTS,Mar 2019,1661.0,1.4904820766378244,Strong,72.4498258417648,High,27.550174158235198,+,-,+,Growth Funded by Debt
ADANIPORTS,Mar 2020,6653.0,1.9556142668428005,Strong,10.11888678735477,Low,89.88111321264523,+,-,-,Shareholder Returns
ADANIPORTS,Mar 2021,-6508.0,1.4965339671222024,Strong,186.1302276336686,High,-86.13022763366861,+,-,+,Growth Funded by Debt
ADANIPORTS,Mar 2022,4927.0,2.103775489602261,Strong,52.71593090211133,High,47.284069097888676,+,-,-,Shareholder Returns
ADANIPORTS,Mar 2023,-4816.0,2.2073826748284175,Strong,140.47058823529412,High,-40.470588235294116,+,-,-,Reinvestor
ADANIPORTS,Mar 2024,8250.0,1.8531589338598222,Strong,45.06592089492609,Moderate,54.934079105073906,+,-,-,Shareholder Returns
ADANIPOWER,TTM,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
ADANIPOWER,Mar 2013,-1063.0,1.3076252723311548,Strong,135.42152615794737,High,-35.421526157947355,+,-,+,Growth Funded by Debt
ADANIPOWER,Mar 2014,-1462.0,11.127147766323024,Strong,145.15132798023473,High,-45.15132798023471,+,-,+,Growth Funded by Debt
ADANIPOWER,Mar 2015,1087.0,7.137254901960785,Strong,81.33585164835165,High,18.66414835164835,+,-,-,Shareholder Returns
ADANIPOWER,Mar 2016,2565.0,9.540834845735027,Strong,51.20791325851246,High,48.79208674148754,+,-,-,Shareholder Returns
ADANIPOWER,Mar 2017,3513.0,0.7653061224489796,Moderate,25.650793650793652,Moderate,74.34920634920636,+,-,-,Shareholder Returns
ADANIPOWER,Mar 2018,4581.0,2.425582501188778,Strong,10.194079592236816,Low,89.80592040776318,+,-,-,Shareholder Returns
ADANIPOWER,Mar 2019,4626.0,5.701219512195122,Strong,17.54010695187166,Low,82.45989304812834,+,-,-,Shareholder Returns
ADANIPOWER,Mar 2020,3294.0,2.4606593406593404,Strong,41.157556270096464,Moderate,58.842443729903536,+,-,-,Shareholder Returns
ADANIPOWER,Mar 2021,4826.0,5.522834645669291,Strong,31.19475335044197,Moderate,68.80524664955803,+,-,-,Shareholder Returns
ADANIPOWER,Mar 2022,11007.0,2.0832654723127035,Strong,7.563764291996482,Low,107.56376429199648,+,+,-,Liquidating Assets
ADANIPOWER,Mar 2023,9976.0,0.7859606600167801,Moderate,18.325228324042225,Low,118.32522832404221,+,+,-,Liquidating Assets
ADANIPOWER,Mar 2024,17651.0,0.6803015027125642,Moderate,24.565984474241358,Low,124.56598447424136,+,+,-,Liquidating Assets
AMBUJACEM,TTM,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
AMBUJACEM,Dec 2012,1472.0,1.4396284829721362,Strong,20.86021505376344,Low,79.13978494623656,+,-,-,Shareholder Returns
AMBUJACEM,Dec 2013,771.0,0.9913928012519562,Moderate,39.14759273875296,Moderate,60.852407261247045,+,-,-,Shareholder Returns
AMBUJACEM,Dec 2014,1219.0,1.1264290517821116,Strong,27.223880597014926,Moderate,72.77611940298507,+,-,-,Shareholder Returns
AMBUJACEM,Dec 2015,1474.0,1.926980198019802,Strong,5.330764290301863,Low,94.66923570969814,+,-,-,Shareholder Returns
AMBUJACEM,Dec 2016,-1355.0,1.9595536959553697,Strong,148.22064056939502,High,-48.220640569395016,+,-,-,Reinvestor
AMBUJACEM,Dec 2017,2678.0,1.7562982005141388,Strong,21.60421545667447,Low,78.39578454332553,+,-,-,Shareholder Returns
AMBUJACEM,Dec 2018,938.0,0.5728220652539522,Moderate,44.920728126834994,Moderate,55.079271873165006,+,-,-,Shareholder Returns
AMBUJACEM,Dec 2019,3548.0,1.7028386633129715,Strong,25.13188436378983,Moderate,74.86811563621018,+,-,-,Shareholder Returns
AMBUJACEM,Dec 2020,3515.0,1.5551979401351785,Strong,27.25579470198676,Moderate,72.74420529801324,+,-,-,Shareholder Returns
AMBUJACEM,Dec 2021,3302.0,1.4306116949609269,Strong,37.803729515916366,Moderate,62.19627048408363,+,-,-,Shareholder Returns
AMBUJACEM,Mar 2023,-13746.0,0.24305555555555555,Weak,1970.204081632653,High,-1870.204081632653,+,-,+,Growth Funded by Debt
AMBUJACEM,Mar 2024,-3295.0,1.1916420430561419,Strong,158.3599008147361,High,-58.3599008147361,+,-,+,Growth Funded by Debt
APOLLOHOSP,TTM,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
APOLLOHOSP,Mar 2013,-290.0,1.462046204620462,Strong,165.4627539503386,High,-65.46275395033861,+,-,+,Growth Funded by Debt
APOLLOHOSP,Mar 2014,17.0,1.1841269841269841,Strong,95.44235924932975,High,4.557640750670242,+,-,-,Shareholder Returns
APOLLOHOSP,Mar 2015,-289.0,1.4029850746268657,Strong,161.48936170212767,High,-61.48936170212767,+,-,+,Growth Funded by Debt
APOLLOHOSP,Mar 2016,-291.0,2.5404255319148934,Strong,148.74371859296483,High,-48.743718592964825,+,-,+,Growth Funded by Debt
APOLLOHOSP,Mar 2017,-529.0,4.755725190839694,Strong,184.91171749598715,High,-84.91171749598716,+,-,+,Growth Funded by Debt
APOLLOHOSP,Mar 2018,132.0,8.95,Strong,75.41899441340783,High,24.581005586592177,+,-,-,Shareholder Returns
APOLLOHOSP,Mar 2019,194.0,4.525,Strong,78.56353591160222,High,21.43646408839779,+,-,-,Shareholder Returns
APOLLOHOSP,Mar 2020,1004.0,2.9930555555555554,Strong,22.351121423047175,Low,77.64887857695282,+,-,-,Shareholder Returns
APOLLOHOSP,Mar 2021,385.0,9.233576642335766,Strong,69.56521739130434,High,30.434782608695656,+,-,-,Shareholder Returns
APOLLOHOSP,Mar 2022,949.0,1.5306859205776173,Strong,44.04481132075472,Moderate,55.95518867924528,+,-,-,Shareholder Returns
APOLLOHOSP,Mar 2023,520.0,1.6315165876777251,Strong,62.23674655047204,High,37.76325344952796,+,-,-,Shareholder Returns
APOLLOHOSP,Mar 2024,383.0,2.053475935828877,Strong,80.05208333333333,High,19.947916666666668,+,-,-,Shareholder Returns
ASIANPAINT,TTM,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
ASIANPAINT,Mar 2013,724.0,1.0232758620689655,Strong,39.00589721988206,Moderate,60.99410278011794,+,-,-,Shareholder Returns
ASIANPAINT,Mar 2014,816.0,1.110055423594616,Strong,41.79743223965763,Moderate,58.20256776034237,+,-,-,Shareholder Returns
ASIANPAINT,Mar 2015,723.0,0.8325157673440785,Moderate,39.141414141414145,Moderate,60.858585858585855,+,-,-,Shareholder Returns
ASIANPAINT,Mar 2016,1377.0,1.2440377149195785,Strong,38.60900579580918,Moderate,61.39099420419082,+,-,-,Shareholder Returns
ASIANPAINT,Mar 2017,846.0,0.7574404761904762,Moderate,44.59724950884086,Moderate,55.40275049115914,+,-,-,Shareholder Returns
ASIANPAINT,Mar 2018,557.0,1.0071496663489037,Strong,73.63937529578799,High,26.36062470421202,+,-,-,Shareholder Returns
ASIANPAINT,Mar 2019,1552.0,1.118659420289855,Strong,37.16599190283401,Moderate,62.83400809716599,+,-,-,Shareholder Returns
ASIANPAINT,Mar 2020,2520.0,1.0951694304253785,Strong,17.050691244239633,Low,82.94930875576037,+,-,-,Shareholder Returns
ASIANPAINT,Mar 2021,3142.0,1.1484253196133458,Strong,14.689112136844965,Low,85.31088786315505,+,-,-,Shareholder Returns
ASIANPAINT,Mar 2022,669.0,0.3196110210696921,Weak,32.1501014198783,Moderate,67.8498985801217,+,-,-,Shareholder Returns
ASIANPAINT,Mar 2023,2911.0,0.999523241954708,Moderate,30.574767469592178,Moderate,69.42523253040783,+,-,-,Shareholder Returns
ASIANPAINT,Mar 2024,3556.0,1.0982367758186398,Strong,41.74311926605505,Moderate,58.256880733944946,+,-,-,Shareholder Returns
ATGL,TTM,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
ATGL,Mar 2018,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
ATGL,Mar 2019,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
ATGL,Mar 2020,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
ATGL,Mar 2021,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
ATGL,Mar 2022,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
ATGL,Mar 2023,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
ATGL,Mar 2024,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
AXISBANK,TTM,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
AXISBANK,Mar 2013,-8366.0,0.4968140567677158,Weak,425.14574426739216,High,-325.14574426739216,+,-,+,Growth Funded by Debt
AXISBANK,Mar 2014,298.0,2.326149887423609,Strong,97.93971238938053,High,2.060287610619469,+,-,+,Growth Funded by Debt
AXISBANK,Mar 2015,-23134.0,-2.060614297363414,Weak,52.578815459701886,High,152.5788154597019,-,-,+,Distress Signal
AXISBANK,Mar 2016,-25284.0,-4.19443093385214,Weak,26.702420640672564,Moderate,73.29757935932744,-,+,+,Distress Signal
AXISBANK,Mar 2017,19751.0,8.754824680619734,Strong,38.67863019652892,Moderate,61.32136980347108,+,-,-,Shareholder Returns
AXISBANK,Mar 2018,-48397.0,-139.09420289855072,Weak,26.06668403230008,Moderate,126.06668403230007,-,-,+,Distress Signal
AXISBANK,Mar 2019,18451.0,7.937780628608082,Strong,50.3003367003367,High,49.6996632996633,+,-,+,Growth Funded by Debt
AXISBANK,Mar 2020,20931.0,18.694529809465273,Strong,31.184245134139925,Moderate,68.81575486586007,+,-,+,Growth Funded by Debt
AXISBANK,Mar 2021,-41655.0,1.9175774134790529,Strong,429.73165518879125,High,-329.73165518879125,+,-,+,Growth Funded by Debt
AXISBANK,Mar 2022,1025.0,2.1602303262955855,Strong,96.35710985535061,High,3.6428901446493938,+,-,+,Growth Funded by Debt
AXISBANK,Mar 2023,-10276.0,2.3042797494780793,Strong,146.55039637599094,High,-46.550396375990935,+,-,+,Growth Funded by Debt
AXISBANK,Mar 2024,-14556.0,-0.2234423394071035,Weak,162.03420342034204,High,262.03420342034207,-,-,+,Distress Signal
BAJAJ-AUTO,TTM,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
BAJAJ-AUTO,Mar 2013,824.0,0.7079476540057453,Moderate,62.849413886384134,High,37.150586113615866,+,-,-,Shareholder Returns
